PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39762631,Basic Considerations for the Consistency Evaluation Based on ICH E17 Guideline.,2025-01-06,Zhu C; Zhang W,"Roche Pharma Product Development China, Shanghai, China.; Sanofi China, Beijing, China.",Not available
39762622,Application of model-informed drug development (MIDD) for dose selection in regulatory submissions for drug approval in Japan.,2025-01-06,Yoshimatsu H; Watase H; Matsuoka N,"Biometrics & Data Management, Pfizer R&D Japan G.K., Tokyo, Japan.; Pharmacokinetics, Dynamics and Metabolism, Translational Medicine and Early Development, R&D, Sanofi K.K., Tokyo, Japan.","Clinical Pharmacology, Otsuka Pharmaceutical Co., Ltd., Osaka, Japan. Sasaki.Tomohiro@otsuka.jp."
39762422,Autogene cevumeran with or without atezolizumab in advanced solid tumors: a phase 1 trial.,2025-01-06,Schiza A; Mancuso MR; Muller L; Yadav M; Kim L; Leveque VJP; Robert A; Darwish M; Qi T; Zhu J; Zhang J; Twomey P; Rao GK; Low DW; Petry C; Lo AA; Schartner JM; Delamarre L; Mellman I; Lower M; Muller F; Derhovanessian E; Cortini A; Manning L,"AbbVie, Inc., Santa Clara, CA, USA.; Artera, Inc., Los Altos, CA, USA.; Bluejay Therapeutics, San Mateo, CA, USA.; Genentech, Inc., South San Francisco, CA, USA.; Gilead Sciences, Foster City, CA, USA.; Seagen, Inc., Bothell, WA, USA.; Stork Therapeutics, San Francisco, CA, USA.","The Royal Marsden Hospital and the Institute of Cancer Research, Sutton, UK. juanita.lopez@icr.ac.uk."
39762416,A universal gene expression signature-based strategy for the high-throughput discovery of anti-inflammatory drugs.,2025-01-07,Zhang X,"Beijing CapitalBio Pharma Co., Ltd, Beijing, 102206, China.",Not available
39762124,Evaluation of rheumatoid arthritis-associated interstitial lung disease in patients treated with JAK inhibitors: a MAJIK-SFR cohort study.,2025-01-06,Pham T; Flipo RM; Roux CH; Seror R,"Service de Rhumatologie, Hopital Pasteur 2, Universite Cote d'Azur, Nice, France.; Service de Rhumatologie, Hopital Roger-Salengro, Universite de Lille, Lille, France.; Service de Rhumatologie, Hopital universitaire Bicetre, Universite Paris-Saclay, Assistance Publique-Hopitaux de Par, Le Kremlin Bicetre, France.; Service de Rhumatologie, Hopital universitaire Sainte-Marguerite, Aix-Marseille Universite, Assistance Publique-Hopitaux de Marseille, Marseille, France.",Not available
39761708,Deaggregation of micronized insoluble drugs by incorporating mannitol form alpha.,2025-01-04,Tang M,"Jiangsu Litaier Pharma Ltd. Company, Nanjing 211100 PR China.",Not available
39761530,Plasma pTau181 and amyloid markers predict conversion to dementia in idiopathic REM sleep behaviour disorder.,2025-01-06,Gan-Or Z,"Roche Diagnostics GmbH, 82377 Penzberg, Germany.",Not available
39761337,"""Choosing wisely"": Intravitreal gas injection as first-line treatment for macular hole-a clinical case perspective.",2025-01-03,Gonzalez DP,"Instituto Vidaurri de Oftalmologia, Co-Director of Surgical Vitreoretinal Division, Monterrey, Nuevo Leon, Mexico.; Private retina practice",Not available
39760983,A Maximum-Use Trial of Ruxolitinib Cream in Children Aged 2-11 Years with Moderate to Severe Atopic Dermatitis.,2025-01-06,Kuo Y; Angel B; Chen X; Kallender H,"Incyte Corporation, Wilmington, DE, USA.","Henry Ford Health System, 1 Ford Pl, Detroit, MI, 48202, USA. LSTEIN1@hfhs.org."
39760525,"Adequate Failure Loads for Modified Lemaire Lateral Extra-articular Tenodesis Are Achieved With an Interference Screw, Staple, and Suture Anchor: A Biomechanical Study of Structural Properties.",2025-01-06,Tollefson LV; Shoemaker EP; Slette EL; Carlson M; LaPrade RF,"Twin Cities Orthopedics Bioengineering Lab, Eagan, Minnesota, USA.; Twin Cities Orthopedics, Edina, Minnesota, USA.",Not available
39760298,"Real-world assessment of the patient profile, clinical characteristics, treatment patterns, and outcomes associated with erythropoietic and X-linked protoporphyria.",2025-01-06,Ciepielewska M,"Mitsubishi Tanabe Pharma America, Inc., Jersey City, New Jersey, USA.",Not available
39759988,Short-term outcomes of robot-assisted versus conventional minimally invasive esophagectomy: A propensity score-matched study via a nationwide database.,2025-01-01,Nishigori T; Suda K; Yoda Y; Tanaka T; Kakeji Y; Kitagawa Y; Sakai Y; Uyama I,The Japan Society for Endoscopic Surgery Tokyo Japan.,Not available
39759449,Tenecteplase: biochemical and clot lysis activity comparisons.,2024-01-01,Bechmann J; Schmid I; Brand S; Miller F,"Boehringer Ingelheim Pharma GmbH and Co., KG, Biberach an der Riss, Germany.",Not available
39759424,Efficacy and safety of iclepertin (BI 425809) with adjunctive computerized cognitive training in patients with schizophrenia.,2025-01-01,McDonald S; Fu E; Reuteman-Fowler C,"Boehringer Ingelheim (Canada) Ltd., 5180 South Service Rd, Burlington, Ontario L7L 5Y7, Canada.; Boehringer Ingelheim Pharmaceuticals, Inc., 900 Ridgebury Road, Ridgefield, CT 06877, USA.",Not available
39758886,Multi-tensor fixel-based metrics in tractometry: application to multiple sclerosis.,2024-01-01,Dumont M; Houde JC,"Imeka Solutions Inc., Sherbrooke, QC, Canada.",Not available
39758310,Unraveling the discrepancies between REDUCE-IT and STRENGTH trials with omega-3 fatty acids: new analytical approaches.,2024-01-01,Gan D; Huo S; Chen P,"R&D, Sirio Life Technology Co., Ltd, Shanghai, China.; R&D, Sirio Pharma Co., Ltd, Shantou, Guangdong, China.",Not available
39757731,Consensus findings of an International Workshops on Genotoxicity Testing workshop on using transcriptomic biomarkers to predict genotoxicity.,2025-01-05,Recio L,"ScitoVation, Durham, North Carolina, USA.",Not available
39756824,Efficacy of valaciclovir in preventing herpes zoster in patients receiving anifrolumab.,2025-01-04,Jachiet M; Roque S; Belhomme N; Abisror N; Jeandel PY; Lechtman S; Grolleau C; Hadjadj J; Bouaziz JD,"Service de Dermatologie, Hopital Saint Louis, APHP, et Universite Paris Cite, Paris, France, Paris, France.; Service de Dermatologie, Hopital Saint Louis, APHP, et Universite Paris Cite, Paris, France, Paris, Ile-de-France, France.; Service de Medecine Interne et Immunologie Clinique, CHU Rennes-Faculte de Medecine de Rennes, Rennes, France, Rennes, Bretagne, France.; Service de medecine interne, APHM Hopital de la conception, Marseille, France, Marseille, France.; Sorbonne Universite, service de medecine interne, Hopital Saint-Antoine, AP-HP, Paris, France, paris, France.; Universite Cote d'Azur, CHU de Nice, Service de Medecine Interne, Hopital Archet 1, Nice, Nice, France.","Service de Medecine Interne, Centre de Reference pour les Maladies auto immunes et auto inflammatoires Systemiques Rares d'Auvergne, CHU Gabriel-Montpied, Inserm U1071, M2iSH, USC-INRA 1382, Clermont-Ferrand, France, Universite Clermont Auvergne, Clermont-Ferrand, France ltrefond@chu-clermontferrand.fr."
39756515,Proposed mechanism of cardiovascular responses for bolus injection of epinephrine from epinephrine autoinjectors.,2025-01-03,Lowenthal R,"ARS Pharmaceuticals, Inc, San Diego, CA, USA.",Not available
39756444,"Belzutifan plus cabozantinib as first-line treatment for patients with advanced clear-cell renal cell carcinoma (LITESPARK-003): an open-label, single-arm, phase 2 study.",2025-01-01,Arrowsmith E; Kassalow L; Perini RF; Vickery D,"Merck & Co, Inc, Rahway, NJ, USA.; Tennessee Oncology, Chattanooga, TN, USA.","Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. Electronic address: toni_choueiri@dfci.harvard.edu."
39756440,Neoadjuvant or perioperative therapy for melanoma metastasis in clinical practice: an international survey.,2025-01-01,Dreno B; Wainstein A,"Centro de Oncologia de Precisao - COP; Hospital Mater Dei, Belo Horizonte, Brazil.; Nantes Universite, INSERM, CNRS, Immunology and New Concepts in ImmunoTherapy, INCIT, Nantes, France.","Department of Dermatology, University Medical Center Schleswig-Holstein (UKSH), Kiel 24105, Germany. Electronic address: ahauschild@dermatology.uni-kiel.de."
39755818,Cyclin E1/CDK2 activation defines a key vulnerability to WEE1 kinase inhibition in gynecological cancers.,2025-01-04,Kim D; Chung H; Liu W; Guo X; Jameson N; de Jong PR; Yea S; Harford L; Li J; Mathews CA; Fischer K; Samatar AA; Jubb A; Bunker KD; Blackwell K; Simpkins F; Ma J,"Zentalis Pharmaceuticals, Inc., San Diego, CA, USA.",Not available
39755256,Donor Type Does Not Impact Late Graft Failure Following Reduced Intensity Allogeneic Hematopoietic Cell Transplantation with Post-Transplant Cyclophosphamide Based Graft-Versus-Host Disease Prophylaxis.,2025-01-02,Majhail NS,"Sarah Cannon Transplant and Cellular Therapy Network, Nashville, TN.",Not available
39754753,Electrocatalytic Micelle-Driven Hydrodefluorination for Accessing Unprotected Monofluorinated Indoles.,2025-01-04,Gallou F,"Novartis Pharma AG, Chemistry, SWITZERLAND.",Not available
39754720,Overcoming CD226-related immune evasion in acute myeloid leukemia with CD38 CAR-engineered NK cells.,2025-01-03,Melo Garcia L,"Department of Medicine, Universite Laval, Quebec City, QC G1V 0A6, Canada; Department of Stem Cell Transplantation and Cellular Therapy, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA; Hematology-Oncology Service, CHU de Quebec - Universite Laval, Quebec City, QC G1V 0A6, Canada.",Not available
39754048,Crisdesalazine alleviates inflammation in an experimental autoimmune encephalomyelitis multiple sclerosis mouse model by regulating the immune system.,2025-01-03,Lee JH; Gwag BJ,"GNT Pharma Co. Ltd., Yongin, Republic of Korea.",Not available
39753643,Addressing inter individual variability in CSF levels of brain derived proteins across neurodegenerative diseases.,2025-01-03,Fassbender K,"Kbo-Inn-Salzach-Klinikum Gemeinnutzige GmbH, Wasserburg Am Inn, Germany.",Not available
39753572,Radiological markers of CSF alpha-synuclein aggregation in Parkinson's disease patients.,2025-01-03,Goldstein O; Artzi M,"Biogen Inc, Cambridge, MA, USA.","Movement Disorders Unit, Neurological Institute, Tel Aviv Medical Center, Tel Aviv, Israel. amgadd@tlvmc.gov.il."
39753401,Preoperative estimated glomerular filtration rate to predict cardiac events in major noncardiac surgery: a secondary analysis of two large international studies.,2025-01-02,Villar JC,"Centro de Investigaciones, Fundacion Cardioinfantil - Instituto de Cardiologia, Bogota, Colombia; Facultad de Ciencias de la Salud, Universidad Autonoma de Bucaramanga, Bucaramanga, Santander, Colombia.","Outcomes Research Consortium, Houston, TX, USA. Electronic address: proshano@uwo.ca."
39753294,Reliability of the OMERACT Giant cell arteritis Ultrasonography Score (OGUS): results of a patient-based exercise involving experts and non-experts in vascular ultrasonography.,2025-01-02,Terslev L,"Division of Musculoskeletal and Rheumatic Disorders, Instituto Nacional de Rehabilitacion Luis Guillermo Ibarra Ibarra, Mexico City, Mexico.","Department of Internal Medicine, Clinical Division of Internal Medicine II, Medical University of Innsbruck, Innsbruck, Tirol, Austria christina.duftner@gmx.at."
39753060,Describing quality of life trajectories in young Hispanic women with breast cancer: 5-year results from a large prospective cohort.,2024-12-21,Rotolo F; Platas A; Fonseca A; Cruz-Ramos M; Rodriguez A; Mohar A,"Biomarkers Statistics, Sanofi, Montpellier, France.; Departamento de Investigacion y de Tumores Mamarios, Instituto Nacional de Cancerologia, Ciudad de Mexico, Mexico; Departamento de Investigacion y de Tumores Mamarios, Instituto Nacional de Cancerologia, Ciudad de Mexico, Mexico.; Investigadora por Mexico del Consejo Nacional de Humanidades, Ciencias y Tecnologias (CONAHCYT), Instituto Nacional de Cancerologia, Ciudad de Mexico, Mexico.; MILC, Medicos e Investigadores en la Lucha contra el Cancer de Mama, Ciudad De Mexico, Mexico.; Unidad de Investigacion Biomedica en Cancer, Instituto Nacional de Cancerologia e Instituto de Investigaciones Biomedicas, UNAM, Ciudad de Mexico, Mexico.",Not available
39752810,Risk factors affecting quality of life in children with epilepsy and their caregivers: A secondary analysis of a cross-sectional online survey in Japan.,2025-01-02,Kumagai T; Nishiuma S; Hayashi H,"Aculys Pharma, Inc., Tokyo, Japan.; Knock on the Door, Inc., Tokyo, Japan.","Department of Pediatric Neurology and Logopedics, Osaka City General Hospital, Osaka, Japan. Electronic address: sokazaki2009@gmail.com."
39752213,A European Survey to Identify Challenges in the Management of Metabolic Dysfunction-Associated Steatotic Liver Disease.,2025-01-01,Basuroy R; Prasad P,"Novo Nordisk A/S, Bagsvaerd, Denmark.",Not available
39752009,First-line immune-based combinations or sunitinib in favorable-risk metastatic renal cell carcinoma: a real-world retrospective comparison from the ARON-1 study.,2025-01-03,Messina C; Incorvaia L; Kanesvaran R,"Latin American Cooperative Oncology Group - LACOG, Porto Alegre, Brazil.; SOC Oncologia PO Pugliese-Ciaccio Azienda Ospedaliera Universitaria Renato Dulbecco, Catanzaro, Italy.",Not available
39749397,Long-term evaluation of rheumatoid arthritis activity with erythrocyte methotrexate-polyglutamate 3.,2025-01-01,Escal J; Poudret M; Hodin S; Neel T; Coman I; Locrelle H; Amouzougan A; Thomas T; Delavenne X; Marotte H,"CHU Saint-Etienne, Laboratoire de Pharmacologie et Toxicologie, Mines Saint-Etienne, INSERM, SAINBIOSE U1059, Universite Jean Monnet Saint-Etienne, Saint-Etienne, France.; CHU Saint-Etienne, Service de Rhumatologie, Mines Saint-Etienne, INSERM, SAINBIOSE U1059, Universite Jean Monnet Saint-Etienne, Saint-Etienne, France.; CHU Saint-Etienne, Service de Rhumatologie, Saint-Etienne, France.; Mines Saint-Etienne, INSERM, SAINBIOSE U1059, Universite Jean Monnet Saint-Etienne, Saint-Etienne, France.",Not available
39748849,Plasma amyloid beta biomarkers predict amyloid positivity and longitudinal clinical progression in mild cognitive impairment.,2024-01-01,Ito T; Tasai H; Miyagawa T,Eisai Co. Ltd. Tokyo Japan.,Not available
39748841,Relationship between physical activity and biomarkers of pathology and neuroinflammation in preclinical autosomal-dominant Alzheimer's disease.,2024-01-01,Picard G; Taylor JA,"Grupo de Neurociencias de Antioquia, Facultad de Medicina Universidad de Antioquia Medellin Colombia.",Not available
39748839,Understanding recent advances in non-amyloid/non-tau (NANT) biomarkers and therapeutic targets in Alzheimer's disease.,2024-01-01,Siemers ER; Gold M; Mobius HJ,"Acumen Pharmaceuticals, Inc. Newton Massachusetts USA.; AriLex Life Sciences LLC Deerfield Illinois USA.; Athira Pharma Bothell Washington USA.",Not available
39748835,Application of the revised criteria for diagnosis and staging of Alzheimer's disease: Drug development and clinical practice.,2024-01-01,Graf A; Burnham SC; Doty EG; Moebius HJ; Montenigro P; Siemers E; Sink KM; Wildsmith KR,Acumen Pharmaceuticals Zionsville Indiana USA.; Athira Pharma Inc. Bothell Washington USA.; Eli Lilly and Company Boston Massachusetts USA.; Eli Lilly and Company Indianapolis Indiana USA.; Genentech Inc South San Francisco California USA.; Neurology Business Group Eisai Inc Nutley New Jersey USA.; Novartis Pharma AG Basel Switzerland.,Not available
39748757,Innovations in Drug Delivery Systems for Biologics: Enhancing Stability and Targeted Delivery for Next-Generation Therapeutics.,2025-01-03,S J,"Alpha Pharma Industries, KAEC 23994, Rabigh, Saudi Arabia, India.",Not available
39748726,A trial of radiolabeled antibody yttrium-90-FF-21101 for the treatment of advanced ovarian and other cancers.,2025-01-01,Cheung K; Izumi Y; Johansen M; Madden T; Shimoyama S; Subach RA; Suzuki T; Wages DS; Wheeler C,"FUJIFILM Pharmaceuticals USA, Inc, Cambridge, Massachusetts, USA.",Not available
39747810,Complicated Overactive Bladder Management.,2025-01-01,Mehlman K; Wessel D,"1 Geramed Senior Care Consulting, Brunswick, Ohio.; 3 Pharma-Care Inc, Clark, New Jersey.",Not available
39747798,Chemical Probes for Investigating the Endocannabinoid System.,2025-01-03,Hanske A; Nazare M,"Leibniz-Forschungsinstitut fur Molekulare Pharmakologie FMP, Berlin, Germany.",Not available
39747684,Combined endurance and resistance exercise training in heart failure with preserved ejection fraction: a randomized controlled trial.,2025-01-02,Hagendorff A; Halle M,"Charite-Universitatsmedizin Berlin, corporate member of Freie Universitat Berlin and Humboldt-Universitat zu Berlin, Berlin, Germany.","Department of Cardiology, Angiology and Intensive Care Medicine, Campus Virchow Klinikum, Deutsches Herzzentrum der Charite, Berlin, Germany. frank.edelmann@dhzc-charite.de."
39747162,Enhanced motivated behavior mediated by pharmacological targeting of the FGF14/Na(v)1.6 complex in nucleus accumbens neurons.,2025-01-02,Lehmann P; Marmol Contreras YM,"Behavioral Pharma Inc., 505 Coast Blvd. South, Suite 212, La Jolla, CA, USA.",Not available
39747003,Intratumor heterogeneity of EGFR expression mediates targeted therapy resistance and formation of drug tolerant microenvironment.,2025-01-02,Lin L; Li J; Eum Y; Janne PA,"iCAN Digital Precision Cancer Medicine Flagship, Helsinki, Finland.",Not available
